run_id,waveform_type,cycle_id,smoothness_score,consistency_score,physical_plausibility_score,total_score,sample_count,start_time,end_time
P1_HIGH_HOLD_001,constant,0,0.9999999999998863,0.032195750160978746,1.0,0.6612685125562971,752,2026-03-16T18:27:01.659000+00:00,2026-03-16T18:27:39.320000+00:00
P1_LOW_HOLD_001,constant,0,0.9999999999999716,0.03229974160206719,1.0,0.6613049095607122,751,2026-03-16T18:25:49.389000+00:00,2026-03-16T18:26:27.076000+00:00
P1_MID_HOLD_001,constant,0,0.9999999999999432,1.0,1.0,0.9999999999999772,758,2026-03-16T18:26:25.458000+00:00,2026-03-16T18:27:03.258000+00:00
P2_HIGH_SQUARE_001,square,0,0.9999999999998863,0.93457943925233,1.0,0.9771028037382701,76,2026-03-16T18:32:00.030000+00:00,2026-03-16T18:32:03.747000+00:00
P2_HIGH_SQUARE_001,square,1,0.9999999999998863,0.04746084480303748,1.0,0.6666112956810177,510,2026-03-16T18:32:03.798000+00:00,2026-03-16T18:32:28.759000+00:00
P2_HIGH_SQUARE_001,square,2,0.9999999999998863,0.9090909090909021,1.0,0.9681818181817703,519,2026-03-16T18:32:28.805000+00:00,2026-03-16T18:32:53.922000+00:00
P2_HIGH_SQUARE_001,square,3,0.9999999999998863,0.047619047619047616,1.0,0.6666666666666212,511,2026-03-16T18:32:53.975000+00:00,2026-03-16T18:33:19.121000+00:00
P2_HIGH_SQUARE_001,square,4,0.9999999999998863,0.9090909090909021,1.0,0.9681818181817703,522,2026-03-16T18:33:19.167000+00:00,2026-03-16T18:33:44.272000+00:00
P2_HIGH_SQUARE_001,square,5,0.9999999999998863,0.047619047619047616,1.0,0.6666666666666212,566,2026-03-16T18:33:44.325000+00:00,2026-03-16T18:34:12.287000+00:00
P2_LOW_SQUARE_001,square,0,0.9999999999998863,0.09041591320072331,1.0,0.6816455696202077,82,2026-03-16T18:27:37.791000+00:00,2026-03-16T18:27:41.644000+00:00
P2_LOW_SQUARE_001,square,1,0.9999999999999147,0.02442002442002442,1.0,0.6585470085469745,505,2026-03-16T18:27:41.691000+00:00,2026-03-16T18:28:07.220000+00:00
P2_LOW_SQUARE_001,square,2,0.9999999999999858,0.016423057973394647,1.0,0.6557480702906825,510,2026-03-16T18:28:07.271000+00:00,2026-03-16T18:28:32.406000+00:00
P2_LOW_SQUARE_001,square,3,0.9999999999999432,0.024390243902439025,1.0,0.6585365853658309,502,2026-03-16T18:28:32.452000+00:00,2026-03-16T18:28:57.457000+00:00
P2_LOW_SQUARE_001,square,4,0.9999999999999858,0.01640419947506562,1.0,0.6557414698162674,501,2026-03-16T18:28:57.505000+00:00,2026-03-16T18:29:22.047000+00:00
P2_LOW_SQUARE_001,square,5,0.9999999999999432,0.024390243902439025,1.0,0.6585365853658309,573,2026-03-16T18:29:22.093000+00:00,2026-03-16T18:29:50.121000+00:00
P2_MID_SQUARE_001,square,0,0.9999999999999432,0.024390243902439025,1.0,0.6585365853658309,82,2026-03-16T18:29:48.587000+00:00,2026-03-16T18:29:52.503000+00:00
P2_MID_SQUARE_001,square,1,0.9999999999998863,1.0,1.0,0.9999999999999545,519,2026-03-16T18:29:52.549000+00:00,2026-03-16T18:30:18.365000+00:00
P2_MID_SQUARE_001,square,2,0.9999999999999432,0.024455857177794083,1.0,0.6585595500122052,501,2026-03-16T18:30:18.412000+00:00,2026-03-16T18:30:43.185000+00:00
P2_MID_SQUARE_001,square,3,0.9999999999998863,1.0,1.0,0.9999999999999545,512,2026-03-16T18:30:43.231000+00:00,2026-03-16T18:31:08.379000+00:00
P2_MID_SQUARE_001,square,4,0.9999999999999432,0.02444987775061125,1.0,0.6585574572126912,507,2026-03-16T18:31:08.427000+00:00,2026-03-16T18:31:33.960000+00:00
P2_MID_SQUARE_001,square,5,0.9999999999998863,0.93457943925233,1.0,0.9771028037382701,564,2026-03-16T18:31:34.008000+00:00,2026-03-16T18:32:01.313000+00:00
P3_HIGH_TRIANGLE_001,triangle,0,0.9999999999997726,0.08886694643297949,1.0,0.6811034312514519,232,2026-03-16T18:38:31.925000+00:00,2026-03-16T18:38:43.029000+00:00
P3_HIGH_TRIANGLE_001,triangle,1,0.9999999999998863,0.02922932025591893,1.0,0.6602302620895262,21,2026-03-16T18:38:43.076000+00:00,2026-03-16T18:38:44.024000+00:00
P3_HIGH_TRIANGLE_001,triangle,2,0.8628019323674354,0.029257523838232498,1.0,0.6053609062903555,21,2026-03-16T18:38:44.070000+00:00,2026-03-16T18:38:45.020000+00:00
P3_HIGH_TRIANGLE_001,triangle,3,0.9983914209114301,0.0321434311326988,1.0,0.6606067692610167,22,2026-03-16T18:38:45.068000+00:00,2026-03-16T18:38:46.070000+00:00
P3_HIGH_TRIANGLE_001,triangle,4,0.9140049140047956,0.03378378378378377,1.0,0.6274262899262426,21,2026-03-16T18:38:46.117000+00:00,2026-03-16T18:38:47.095000+00:00
P3_HIGH_TRIANGLE_001,triangle,5,0.9871451526517219,0.03569838113250409,1.0,0.6573524944570652,21,2026-03-16T18:38:47.151000+00:00,2026-03-16T18:38:48.118000+00:00
P3_HIGH_TRIANGLE_001,triangle,6,0.9469237435009557,0.0379794910748196,1.0,0.6420623192765691,21,2026-03-16T18:38:48.166000+00:00,2026-03-16T18:38:49.116000+00:00
P3_HIGH_TRIANGLE_001,triangle,7,0.9479505530253386,0.040371417036737973,1.0,0.6433102171729937,21,2026-03-16T18:38:49.163000+00:00,2026-03-16T18:38:50.119000+00:00
P3_HIGH_TRIANGLE_001,triangle,8,0.9977174161148096,0.04321521175453761,1.0,0.6642122905600121,22,2026-03-16T18:38:50.166000+00:00,2026-03-16T18:38:51.170000+00:00
P3_HIGH_TRIANGLE_001,triangle,9,0.9999999999996589,0.046687762618664724,1.0,0.6663407169163962,21,2026-03-16T18:38:51.216000+00:00,2026-03-16T18:38:52.163000+00:00
P3_HIGH_TRIANGLE_001,triangle,10,0.9669719261373417,0.050542179746370146,1.0,0.6544785333661662,19,2026-03-16T18:38:52.217000+00:00,2026-03-16T18:38:53.159000+00:00
P3_HIGH_TRIANGLE_001,triangle,11,0.9860045146728318,0.055615946608691263,1.0,0.6638673871821748,20,2026-03-16T18:38:53.211000+00:00,2026-03-16T18:38:54.218000+00:00
P3_HIGH_TRIANGLE_001,triangle,12,0.9999999999996589,0.04054759735007117,1.0,0.6641916590723884,290,2026-03-16T18:38:54.270000+00:00,2026-03-16T18:39:08.422000+00:00
P3_HIGH_TRIANGLE_001,triangle,13,1.0,0.030145704237146204,1.0,0.6605509964830012,19,2026-03-16T18:39:08.473000+00:00,2026-03-16T18:39:09.437000+00:00
P3_HIGH_TRIANGLE_001,triangle,14,0.8362369337979545,0.030389631917094637,1.0,0.5951311446901649,22,2026-03-16T18:39:09.485000+00:00,2026-03-16T18:39:10.495000+00:00
P3_HIGH_TRIANGLE_001,triangle,15,0.9520801568286564,0.03270105782967373,1.0,0.6422774329718484,21,2026-03-16T18:39:10.543000+00:00,2026-03-16T18:39:11.503000+00:00
P3_HIGH_TRIANGLE_001,triangle,16,0.9689647528262336,0.034539361789348265,1.0,0.6496746777567654,21,2026-03-16T18:39:11.549000+00:00,2026-03-16T18:39:12.503000+00:00
P3_HIGH_TRIANGLE_001,triangle,17,0.9933719582850453,0.0366315275346982,1.0,0.6601698179511625,21,2026-03-16T18:39:12.550000+00:00,2026-03-16T18:39:13.509000+00:00
P3_HIGH_TRIANGLE_001,triangle,18,0.9605548268496256,0.03932831996567711,1.0,0.6479868427278372,22,2026-03-16T18:39:13.557000+00:00,2026-03-16T18:39:14.600000+00:00
P3_HIGH_TRIANGLE_001,triangle,19,0.9988574040217362,0.041957063937903556,1.0,0.6642279339869608,22,2026-03-16T18:39:14.647000+00:00,2026-03-16T18:39:15.633000+00:00
P3_HIGH_TRIANGLE_001,triangle,20,0.990452167832642,0.044662795891022775,1.0,0.6618128456949148,22,2026-03-16T18:39:15.680000+00:00,2026-03-16T18:39:16.682000+00:00
P3_HIGH_TRIANGLE_001,triangle,21,0.9999999999994316,0.04826254826254826,1.0,0.6668918918916645,21,2026-03-16T18:39:16.736000+00:00,2026-03-16T18:39:17.705000+00:00
P3_HIGH_TRIANGLE_001,triangle,22,0.9834801762114503,0.05263157894736842,1.0,0.661813123116159,22,2026-03-16T18:39:17.753000+00:00,2026-03-16T18:39:18.764000+00:00
P3_HIGH_TRIANGLE_001,triangle,23,0.9721246058101899,0.05813953488372094,1.0,0.6591986795333783,22,2026-03-16T18:39:18.810000+00:00,2026-03-16T18:39:19.842000+00:00
P3_HIGH_TRIANGLE_001,triangle,24,0.9999999999997726,0.039834465664903625,1.0,0.6639420629826254,279,2026-03-16T18:39:19.893000+00:00,2026-03-16T18:39:33.447000+00:00
P3_HIGH_TRIANGLE_001,triangle,25,0.9999999999998863,0.03018209866192695,1.0,0.660563734531629,22,2026-03-16T18:39:33.499000+00:00,2026-03-16T18:39:34.506000+00:00
P3_HIGH_TRIANGLE_001,triangle,26,0.9999999999996021,0.03032549363164635,1.0,0.6606139227709171,22,2026-03-16T18:39:34.554000+00:00,2026-03-16T18:39:35.572000+00:00
P3_HIGH_TRIANGLE_001,triangle,27,0.931702628830139,0.032829940906106365,1.0,0.6341715308491929,22,2026-03-16T18:39:35.620000+00:00,2026-03-16T18:39:36.616000+00:00
P3_HIGH_TRIANGLE_001,triangle,28,0.9982870846177176,0.0346380325597506,1.0,0.6614381452429998,22,2026-03-16T18:39:36.663000+00:00,2026-03-16T18:39:37.658000+00:00
P3_HIGH_TRIANGLE_001,triangle,29,0.9500163008974528,0.03697271861520363,1.0,0.6429469718743024,22,2026-03-16T18:39:37.705000+00:00,2026-03-16T18:39:38.722000+00:00
P3_HIGH_TRIANGLE_001,triangle,30,0.9763963499956544,0.03922485350111534,1.0,0.6542872387236521,20,2026-03-16T18:39:38.773000+00:00,2026-03-16T18:39:39.766000+00:00
P3_HIGH_TRIANGLE_001,triangle,31,0.9965800273597434,0.0425531914893617,1.0,0.663525627965174,21,2026-03-16T18:39:39.818000+00:00,2026-03-16T18:39:40.795000+00:00
P3_HIGH_TRIANGLE_001,triangle,32,0.9989272688260512,0.045228403437358664,1.0,0.665400848733496,22,2026-03-16T18:39:40.843000+00:00,2026-03-16T18:39:41.863000+00:00
P3_HIGH_TRIANGLE_001,triangle,33,0.8955288012625482,0.04923413566739607,1.0,0.625443467988608,21,2026-03-16T18:39:41.910000+00:00,2026-03-16T18:39:42.869000+00:00
P3_HIGH_TRIANGLE_001,triangle,34,0.9965800273599692,0.05316321105794789,1.0,0.6672391348142694,23,2026-03-16T18:39:42.917000+00:00,2026-03-16T18:39:43.958000+00:00
P3_HIGH_TRIANGLE_001,triangle,35,0.9681106882307192,0.05858230814294083,1.0,0.657748083142317,22,2026-03-16T18:39:44.006000+00:00,2026-03-16T18:39:45.005000+00:00
P3_HIGH_TRIANGLE_001,triangle,36,0.9999999999997726,0.038503871778217694,1.0,0.6634763551222853,280,2026-03-16T18:39:45.052000+00:00,2026-03-16T18:39:58.642000+00:00
P3_HIGH_TRIANGLE_001,triangle,37,0.9999999999999432,0.03001000333444481,1.0,0.6605035011670329,22,2026-03-16T18:39:58.690000+00:00,2026-03-16T18:39:59.687000+00:00
P3_HIGH_TRIANGLE_001,triangle,38,0.8857795545404344,0.030148733753182368,1.0,0.6148638786297876,22,2026-03-16T18:39:59.738000+00:00,2026-03-16T18:40:00.741000+00:00
P3_HIGH_TRIANGLE_001,triangle,39,0.9999999999996589,0.03309066843150232,1.0,0.6615817339508894,22,2026-03-16T18:40:00.789000+00:00,2026-03-16T18:40:01.784000+00:00
P3_HIGH_TRIANGLE_001,triangle,40,0.9519832985383601,0.034966393410777424,1.0,0.6430315571091161,21,2026-03-16T18:40:01.831000+00:00,2026-03-16T18:40:02.816000+00:00
P3_HIGH_TRIANGLE_001,triangle,41,0.9812179659501198,0.037216226274655755,1.0,0.6555128655761775,20,2026-03-16T18:40:02.869000+00:00,2026-03-16T18:40:03.859000+00:00
P3_HIGH_TRIANGLE_001,triangle,42,0.903702689318321,0.039906642642061604,1.0,0.62544840065205,20,2026-03-16T18:40:03.910000+00:00,2026-03-16T18:40:04.909000+00:00
P3_HIGH_TRIANGLE_001,triangle,43,0.9999999999997726,0.043308791684712,1.0,0.6651580770895583,25,2026-03-16T18:40:04.961000+00:00,2026-03-16T18:40:06.140000+00:00
P3_HIGH_TRIANGLE_001,triangle,44,0.9999999999998295,0.04614911291149626,1.0,0.6661521895189555,22,2026-03-16T18:40:06.188000+00:00,2026-03-16T18:40:07.196000+00:00
P3_HIGH_TRIANGLE_001,triangle,45,0.998904709747929,0.05122950819672132,1.0,0.6674922117680241,26,2026-03-16T18:40:07.243000+00:00,2026-03-16T18:40:08.444000+00:00
P3_HIGH_TRIANGLE_001,triangle,46,0.9490114464096698,0.05526851285830325,1.0,0.6489485580642741,21,2026-03-16T18:40:08.492000+00:00,2026-03-16T18:40:09.447000+00:00
P3_HIGH_TRIANGLE_001,triangle,47,0.9965800273598563,0.04152397170497846,1.0,0.663165401040685,273,2026-03-16T18:40:09.494000+00:00,2026-03-16T18:40:22.725000+00:00
P3_HIGH_TRIANGLE_001,triangle,48,0.9999999999998863,0.029706891998943757,1.0,0.6603974121995848,22,2026-03-16T18:40:22.772000+00:00,2026-03-16T18:40:23.818000+00:00
P3_HIGH_TRIANGLE_001,triangle,49,1.0,0.029706891998943757,1.0,0.6603974121996303,20,2026-03-16T18:40:23.869000+00:00,2026-03-16T18:40:24.861000+00:00
P3_HIGH_TRIANGLE_001,triangle,50,0.9563080283987162,0.029711171400446573,1.0,0.6429221213496428,19,2026-03-16T18:40:24.917000+00:00,2026-03-16T18:40:25.861000+00:00
P3_HIGH_TRIANGLE_001,triangle,51,0.941992299139924,0.03347450105241804,1.0,0.6385129950243159,20,2026-03-16T18:40:25.912000+00:00,2026-03-16T18:40:26.915000+00:00
P3_HIGH_TRIANGLE_001,triangle,52,0.8991179110029895,0.03544563034145957,1.0,0.6220531350207067,22,2026-03-16T18:40:26.969000+00:00,2026-03-16T18:40:27.995000+00:00
P3_HIGH_TRIANGLE_001,triangle,53,0.9989047097480992,0.03749531308586426,1.0,0.6626852434792923,21,2026-03-16T18:40:28.043000+00:00,2026-03-16T18:40:29.048000+00:00
P3_HIGH_TRIANGLE_001,triangle,54,0.9711175294382532,0.040360554284945505,1.0,0.6525732057750322,22,2026-03-16T18:40:29.094000+00:00,2026-03-16T18:40:30.095000+00:00
P3_HIGH_TRIANGLE_001,triangle,55,0.9945210399075955,0.042881646655231545,1.0,0.6628169922923692,22,2026-03-16T18:40:30.142000+00:00,2026-03-16T18:40:31.136000+00:00
P3_HIGH_TRIANGLE_001,triangle,56,0.9162201656110598,0.046655089292657013,1.0,0.6328173474968539,22,2026-03-16T18:40:31.183000+00:00,2026-03-16T18:40:32.190000+00:00
P3_HIGH_TRIANGLE_001,triangle,57,0.9849902290964401,0.05027652086475616,1.0,0.6615928739412407,20,2026-03-16T18:40:32.241000+00:00,2026-03-16T18:40:33.249000+00:00
P3_HIGH_TRIANGLE_001,triangle,58,0.962074458308357,0.054854635216675794,1.0,0.6540289056491794,20,2026-03-16T18:40:33.300000+00:00,2026-03-16T18:40:34.291000+00:00
P3_HIGH_TRIANGLE_001,triangle,59,0.9999999999998863,0.0668896321070234,1.0,0.6734113712374128,192,2026-03-16T18:40:34.342000+00:00,2026-03-16T18:40:43.797000+00:00
P3_LOW_TRIANGLE_001,triangle,0,0.9999999999998863,0.02916963764827899,1.0,0.6602093731768521,76,2026-03-16T18:34:10.762000+00:00,2026-03-16T18:34:14.695000+00:00
P3_LOW_TRIANGLE_001,triangle,1,0.9038461538460274,0.05761659357895072,1.0,0.6317042692910437,279,2026-03-16T18:34:14.747000+00:00,2026-03-16T18:34:28.291000+00:00
P3_LOW_TRIANGLE_001,triangle,2,0.9999999999999716,0.035704367834331736,1.0,0.6624965287420048,20,2026-03-16T18:34:28.342000+00:00,2026-03-16T18:34:29.347000+00:00
P3_LOW_TRIANGLE_001,triangle,3,0.9999999999998863,0.03556328288615798,1.0,0.6624471490101098,21,2026-03-16T18:34:29.399000+00:00,2026-03-16T18:34:30.418000+00:00
P3_LOW_TRIANGLE_001,triangle,4,0.9999999999999432,0.03396995546161395,1.0,0.6618894844115422,22,2026-03-16T18:34:30.467000+00:00,2026-03-16T18:34:31.468000+00:00
P3_LOW_TRIANGLE_001,triangle,5,0.9999999999999147,0.03377300786160572,1.0,0.661820552751528,22,2026-03-16T18:34:31.515000+00:00,2026-03-16T18:34:32.516000+00:00
P3_LOW_TRIANGLE_001,triangle,6,0.9999999999999432,0.03213597086338642,1.0,0.6612475898021626,22,2026-03-16T18:34:32.564000+00:00,2026-03-16T18:34:33.575000+00:00
P3_LOW_TRIANGLE_001,triangle,7,0.9924922881509236,0.03213367609254499,1.0,0.6582437018927603,22,2026-03-16T18:34:33.622000+00:00,2026-03-16T18:34:34.621000+00:00
P3_LOW_TRIANGLE_001,triangle,8,0.9999999999999716,0.03048057709892641,1.0,0.6606682019846128,21,2026-03-16T18:34:34.668000+00:00,2026-03-16T18:34:35.660000+00:00
P3_LOW_TRIANGLE_001,triangle,9,0.9578174646653617,0.030478512648582753,1.0,0.6437944652931487,22,2026-03-16T18:34:35.706000+00:00,2026-03-16T18:34:36.701000+00:00
P3_LOW_TRIANGLE_001,triangle,10,0.9999999999999432,0.029063196305744828,1.0,0.660172118706988,22,2026-03-16T18:34:36.755000+00:00,2026-03-16T18:34:37.747000+00:00
P3_LOW_TRIANGLE_001,triangle,11,0.9358543295053026,0.029061319383900032,1.0,0.6345131935864861,22,2026-03-16T18:34:37.797000+00:00,2026-03-16T18:34:38.804000+00:00
P3_LOW_TRIANGLE_001,triangle,12,0.9999999999999716,0.027702536321103182,1.0,0.6596958877123748,22,2026-03-16T18:34:38.852000+00:00,2026-03-16T18:34:39.845000+00:00
P3_LOW_TRIANGLE_001,triangle,13,0.8637365186127495,0.027700831024930747,1.0,0.6051898983038255,21,2026-03-16T18:34:39.891000+00:00,2026-03-16T18:34:40.886000+00:00
P3_LOW_TRIANGLE_001,triangle,14,0.9999999999999858,0.026477597010973495,1.0,0.659267158953835,20,2026-03-16T18:34:40.937000+00:00,2026-03-16T18:34:41.926000+00:00
P3_LOW_TRIANGLE_001,triangle,15,0.9813095924322995,0.026469031233456855,1.0,0.6517879979046297,20,2026-03-16T18:34:41.978000+00:00,2026-03-16T18:34:42.975000+00:00
P3_LOW_TRIANGLE_001,triangle,16,0.9999999999999716,0.02530506663667548,1.0,0.658856773322825,20,2026-03-16T18:34:43.028000+00:00,2026-03-16T18:34:44.030000+00:00
P3_LOW_TRIANGLE_001,triangle,17,0.9548121265145992,0.02522492222315648,1.0,0.6407535733839445,20,2026-03-16T18:34:44.081000+00:00,2026-03-16T18:34:45.081000+00:00
P3_LOW_TRIANGLE_001,triangle,18,1.0,0.02427904718228169,1.0,0.6584976665137986,20,2026-03-16T18:34:45.133000+00:00,2026-03-16T18:34:46.126000+00:00
P3_LOW_TRIANGLE_001,triangle,19,0.9209271943082625,0.02416523160177651,1.0,0.6268287087839268,20,2026-03-16T18:34:46.179000+00:00,2026-03-16T18:34:47.183000+00:00
P3_LOW_TRIANGLE_001,triangle,20,1.0,0.023360240870039198,1.0,0.6581760843045137,20,2026-03-16T18:34:47.234000+00:00,2026-03-16T18:34:48.216000+00:00
